qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry
1013,3961,2052,2026,3654,2686,2052,2577,19598,1013
1013,4408,2086,2026,3787,2752,2086,2666,18688,1013
1013,3922,2028,2026,3794,2634,2028,2653,19631,1013
1013,3930,1966,2026,3584,2742,1966,2614,19386,1013
1013,4072,1996,2026,3829,2740,1996,2776,18952,1013
1013,4265,2191,2026,3703,2680,2191,2817,20275,1013
1013,4238,2038,2026,3696,2706,2038,2698,20273,1013
1013,4190,2173,2026,3542,2664,2173,2615,18934,1013
1013,3859,2032,2026,3563,2720,2032,2527,18488,1013
1013,3920,2117,2026,3549,2620,2117,2658,20028,1013
1013,4015,2039,2026,3654,2725,2039,2714,19386,1013
1013,4106,2163,2026,3647,2702,2163,2694,20029,1013
1013,4376,2235,2026,3843,2720,2235,2676,18922,1013
1013,3875,2005,2026,3766,2694,2005,2685,20503,1013
1013,3898,2094,2026,3647,2582,2094,2659,20500,1013
1013,4185,2008,2026,3668,2669,2008,2530,20298,1013
1013,4158,2050,2026,3689,2587,2050,2726,20287,1013
1013,3958,2116,2026,3542,2667,2116,2581,20054,1013
1013,4430,2147,2026,3668,2723,2147,2649,18693,1013
1013,4001,2118,2026,3724,2713,2118,2690,18496,1013
1013,4160,2091,2026,3549,2628,2091,2645,20062,1013
1013,4214,2015,2026,3787,2730,2015,2743,19135,1013
1013,3876,2097,2026,3829,2727,2097,2697,20066,1013
1013,3913,2008,2026,3633,2751,2008,2707,18922,1013
1013,3683,2031,2026,3731,2654,2031,2776,20075,1013
1013,4472,2010,2026,3752,2775,2010,2797,20292,1013
1013,3737,2138,2026,3822,2670,2138,2766,19600,1013
1013,4200,2145,2026,3668,2688,2145,2662,20054,1013
1013,4005,1955,2026,3493,2755,1955,2727,20267,1013
1013,4219,2098,2026,3577,2519,2098,2401,19606,1013
1013,3903,2028,2026,3493,2698,2028,2576,18932,1013
1013,4157,2015,2026,3829,2775,2015,2590,18924,1013
1013,3925,1934,2026,3486,2742,1934,2591,20731,1013
1013,4045,2188,2026,3423,2612,2188,2686,19402,1013
1013,3771,1971,2026,3605,2573,1971,2671,20737,1013
1013,4164,1962,2026,3773,2750,1962,2640,19613,1013
1013,4095,2007,2026,3563,2709,2007,2717,19625,1013
1013,3960,2046,2026,3703,2728,2046,2559,18942,1013
1013,4170,1993,2026,3640,2803,1993,2657,19616,1013
1013,3943,2106,2026,3640,2691,2106,2694,20497,1013
1013,3982,1941,2026,3836,2738,1941,2758,20047,1013
1013,4023,2167,2026,3451,2760,2167,2558,19380,1013
1013,3952,2139,2026,3794,2762,2139,2663,18040,1013
1013,4074,2014,2026,3598,2654,2014,2606,20495,1013
1013,4406,2094,2026,3675,2719,2094,2829,19390,1013
1013,3933,1902,2026,3710,2695,1902,2815,19620,1013
1013,4100,2145,2026,3927,2574,2145,2711,19826,1013
1013,4260,2144,2026,3850,2754,2144,2646,18933,1013
1013,4157,1998,2026,3640,2714,1998,2665,19840,1013
1013,4295,2158,2026,3724,2723,2158,2548,19842,1013
1013,4082,1974,2026,3696,2612,1974,2682,19396,1013
1013,3988,1915,2026,3766,2748,1915,2640,20042,1013
1013,4298,1935,2026,3556,2694,1935,2581,19139,1013
1013,4035,2174,2026,3549,2627,2174,2689,18042,1013
1013,4325,2159,2026,3612,2697,2159,2736,19810,1013
1013,4282,2004,2026,3808,2718,2004,2583,19372,1013
1013,4077,1967,2026,3955,2725,1967,2678,20067,1013
