qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,gleinig,dcsp,topdown,bdsp,lowrank,baa,merge,cvoqram,pivot,isometry,svd,ucg
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,0,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,10,1,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,0,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,11,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,0,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,11,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,11,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,0,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,10,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,0,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,2,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,11,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,11,0,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,0,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,4,1,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,0,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,3,2,2,2,3,3,1,7,1,7,1,1,1,9,1,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
1,2,0,2,0,2,2,0,7,2,7,0,0,0,10,2,1,1,1
1,2,0,2,0,2,2,0,0,2,0,0,0,0,2,0,1,1,1
