qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,topdown,dcsp,bdsp,lowrank,baa,merge,cvoqram,pivot,isometry,svd,ucg
12,221,27,10,14,218,217,223,50,25,8,38,112,87,14,14,8,52,79,12,26,12
26,224,29,23,22,222,218,227,43,18,11,50,126,91,20,20,11,61,49,26,25,26
26,226,29,16,23,220,218,224,26,27,11,52,91,72,13,13,11,53,46,26,25,26
26,226,28,24,15,219,220,225,37,28,10,52,126,89,21,21,10,61,81,26,24,26
26,220,12,8,14,217,216,220,25,6,7,52,112,69,21,21,7,78,64,26,26,26
26,227,29,18,14,221,223,231,14,32,13,52,133,90,19,19,13,65,36,26,23,26
24,224,18,16,22,220,222,229,30,29,10,48,112,96,12,12,10,47,47,24,25,24
26,223,28,16,20,223,222,236,33,31,13,52,112,72,17,17,13,66,62,26,25,26
24,217,12,12,19,219,218,223,27,25,9,44,91,91,20,20,9,42,50,24,15,24
26,221,12,16,21,222,221,222,41,27,13,48,105,70,19,19,13,50,48,26,23,26
26,230,22,27,28,224,220,228,45,29,11,52,105,94,20,20,11,49,63,26,26,26
12,226,27,12,23,219,217,221,31,25,11,38,112,66,14,14,11,69,67,12,25,12
26,224,28,21,22,216,215,226,17,16,8,51,77,62,21,21,8,62,65,26,25,26
26,223,23,14,21,222,221,229,20,27,9,52,84,70,17,17,9,54,63,26,23,26
24,220,24,23,25,219,220,230,31,14,8,44,147,96,18,18,8,85,65,24,23,24
20,222,14,21,14,218,217,218,28,14,18,46,77,71,13,13,18,50,48,20,24,20
26,225,29,14,22,220,218,231,40,27,9,52,98,91,19,19,9,49,47,26,25,26
26,228,20,12,14,218,218,223,35,14,12,52,112,89,19,19,12,70,81,26,24,26
26,223,19,12,14,219,220,226,20,18,12,46,84,69,19,19,12,69,66,26,24,26
24,217,8,8,8,215,215,218,31,23,6,50,56,70,21,21,6,27,48,24,16,24
26,223,16,16,17,222,222,225,22,19,12,44,133,96,20,20,12,65,64,26,25,26
26,230,33,16,16,218,219,230,16,33,12,50,98,73,18,18,12,64,62,26,25,26
24,222,16,14,16,220,222,225,34,20,9,50,140,98,18,18,9,78,65,24,25,24
26,222,16,18,26,226,222,228,30,18,10,50,119,97,19,19,10,53,63,26,25,26
26,225,29,16,10,221,222,226,22,18,14,52,126,91,20,20,14,83,67,26,26,26
26,224,27,14,24,222,218,226,26,25,10,52,133,99,13,13,10,80,53,26,26,26
26,231,24,16,18,220,219,232,24,18,8,52,91,97,19,19,8,51,46,26,22,26
26,226,20,18,20,226,224,230,41,20,11,52,105,70,20,20,11,61,48,26,24,26
24,219,18,20,21,226,222,224,26,16,12,46,147,96,19,19,12,71,51,24,23,24
26,224,29,12,12,219,219,226,27,14,8,52,98,91,21,21,8,67,63,26,26,26
26,223,17,18,25,224,220,223,25,29,16,52,77,69,19,19,16,43,47,26,24,26
26,227,31,16,22,221,221,226,29,22,11,52,126,96,20,20,11,68,64,26,24,26
26,224,25,16,25,223,224,228,18,25,11,52,112,97,20,20,11,57,63,26,24,26
26,227,19,28,16,222,224,229,33,29,14,52,105,69,20,20,14,62,64,26,23,26
26,225,18,18,27,223,224,227,28,28,10,50,112,96,15,15,10,54,48,26,24,26
26,226,25,10,19,216,217,229,30,18,10,51,84,65,21,21,10,68,80,26,25,26
26,223,16,16,33,223,221,226,24,22,9,52,105,91,19,19,9,68,61,26,25,26
24,230,34,24,18,219,219,234,36,34,19,47,91,65,19,19,19,76,48,24,25,24
26,224,23,10,21,217,217,224,26,21,7,52,98,72,11,11,7,79,65,26,26,26
26,221,10,12,39,220,217,224,24,53,9,52,70,71,18,18,9,47,64,26,25,26
24,228,39,16,16,222,220,228,43,14,9,48,112,100,18,18,9,76,66,24,25,24
26,216,20,8,18,220,217,222,32,58,7,52,112,70,19,19,7,63,32,26,25,26
26,223,18,23,14,220,218,228,21,23,9,48,49,37,16,16,9,42,31,26,24,26
26,226,16,23,14,221,221,227,23,18,10,48,91,97,20,20,10,42,63,26,24,26
26,222,13,12,19,218,218,222,14,12,8,52,91,64,20,20,8,90,82,26,25,26
26,221,18,16,25,220,218,224,35,26,10,48,70,35,15,15,10,43,44,26,23,26
26,218,21,12,18,220,214,229,35,12,8,52,112,88,19,19,8,72,79,26,25,26
24,227,31,28,20,222,223,235,26,31,12,50,126,98,17,17,12,78,67,24,25,24
26,221,16,21,20,220,216,223,18,14,19,50,112,82,20,20,19,77,79,26,25,26
26,222,20,17,21,215,217,223,23,25,14,52,91,85,19,19,14,58,78,26,26,26
26,226,29,10,14,216,215,217,16,10,7,52,105,84,20,20,7,84,79,26,26,26
24,220,12,33,20,218,214,226,24,12,7,50,63,69,21,21,7,22,46,24,16,24
26,230,22,20,22,222,224,225,27,29,12,48,105,71,17,17,12,77,65,26,22,26
26,222,36,10,12,221,220,228,39,14,12,44,84,67,20,20,12,33,30,26,25,26
26,224,20,16,16,218,220,226,18,22,10,48,119,96,13,13,10,73,66,26,24,26
26,230,31,18,18,223,220,228,33,35,15,51,112,98,20,20,15,76,64,26,22,26
26,224,25,12,20,217,220,231,21,14,8,46,105,91,20,20,8,82,76,26,25,26
