qiskit,shp_reduced,gleinig,topdown,dcsp,bdsp,lowrank,baa,merge,cvoqram,pivot,isometry,svd,ucg
120,1234,771,240,742,399,99,99,771,869,2903,120,127,120
120,1524,758,240,728,400,100,100,758,882,3193,120,127,120
120,1391,723,240,707,399,99,99,723,830,3208,120,126,120
120,1457,682,240,707,392,100,100,682,858,3189,120,127,120
120,1413,704,240,714,398,100,100,704,893,3184,120,126,120
120,1372,719,240,756,400,100,100,719,870,3189,120,127,120
120,1486,718,240,770,398,100,100,718,852,3483,120,127,120
120,1412,673,240,721,398,99,99,673,840,3341,120,126,120
120,1383,757,240,735,400,100,100,757,855,3478,120,126,120
120,1437,767,240,707,396,99,99,767,868,3761,120,127,120
120,1399,743,240,707,398,99,99,743,839,3616,120,126,120
120,1474,774,240,714,395,100,100,774,847,3621,120,127,120
120,1494,725,240,693,388,99,99,725,960,3339,120,126,120
120,1218,709,240,728,397,100,100,709,855,3482,120,127,120
120,1416,736,240,742,398,100,100,736,895,3760,120,127,120
120,1409,710,240,679,400,99,99,710,857,3495,120,126,120
120,1578,706,240,707,390,99,99,706,868,3627,120,127,120
120,1525,686,240,770,400,100,100,686,900,2769,120,127,120
120,1277,702,240,735,392,99,99,702,957,4623,120,127,120
120,1306,718,240,749,400,100,100,718,879,3761,120,127,120
120,1529,797,240,686,398,100,100,797,865,3631,120,127,120
120,1568,717,240,693,396,99,99,717,842,2914,120,127,120
120,1454,715,240,735,400,99,99,715,851,3903,120,126,120
120,1396,803,240,749,400,99,99,803,873,3339,120,126,120
120,1281,750,240,686,400,100,100,750,866,3488,120,127,120
120,1479,698,240,728,396,100,100,698,939,3899,120,127,120
120,1441,799,240,735,396,99,99,799,892,3341,120,126,120
120,1360,759,240,728,394,99,99,759,783,3910,120,126,120
120,1497,720,240,665,396,100,100,720,861,3046,120,127,120
120,1583,744,240,749,397,100,100,744,889,3771,120,127,120
120,1326,740,240,686,394,99,99,740,801,2625,120,127,120
120,1415,722,240,728,400,100,100,722,929,3634,120,126,120
120,1578,727,240,791,398,100,100,727,928,4060,120,127,120
120,1565,710,240,721,397,100,100,710,887,3482,120,127,120
120,1421,732,240,728,400,99,99,732,932,3198,120,126,120
120,1413,743,240,679,394,100,100,743,797,2766,120,127,120
120,1524,741,240,749,399,99,99,741,919,3624,120,126,120
120,1515,727,240,700,400,100,100,727,831,3910,120,127,120
120,1308,758,240,700,400,100,100,758,812,3488,120,127,120
120,1624,754,240,749,392,100,100,754,889,3487,120,126,120
120,1429,746,240,756,393,100,100,746,831,3629,120,127,120
120,1470,758,240,749,394,99,99,758,862,3483,120,127,120
120,1414,763,240,735,394,99,99,763,827,3758,120,127,120
120,1365,749,240,735,399,100,100,749,876,3618,120,127,120
120,1472,702,240,749,397,99,99,702,826,3474,120,126,120
120,1353,726,240,756,400,99,99,726,830,3341,120,127,120
120,1448,705,240,700,397,99,99,705,964,4496,120,126,120
120,1560,711,240,749,392,100,100,711,854,2913,120,126,120
120,1341,736,240,714,400,100,100,736,841,3187,120,127,120
120,1403,713,240,693,399,100,100,713,852,4052,120,127,120
120,1402,704,240,728,388,100,100,704,842,3631,120,127,120
120,1462,716,240,644,395,99,99,716,845,3195,120,127,120
120,1418,745,240,742,399,99,99,745,914,3475,120,127,120
120,1287,749,240,714,392,99,99,749,821,2895,120,127,120
120,1532,759,240,749,399,99,99,759,947,4194,120,126,120
120,1382,707,240,693,399,99,99,707,850,3334,120,126,120
120,1382,762,240,728,400,99,99,762,902,4055,120,126,120
120,1427,716,240,763,396,100,100,716,888,3481,120,127,120
120,1518,697,240,756,398,99,99,697,852,3057,120,126,120
120,1386,816,240,686,400,99,99,816,938,4183,120,126,120
120,1392,782,240,735,387,100,100,782,824,3338,120,127,120
120,1527,715,240,707,400,100,100,715,918,4627,120,127,120
120,1446,685,240,714,385,100,100,685,886,4778,120,126,120
120,1503,689,240,665,398,100,100,689,908,4344,120,127,120
120,1527,718,240,721,400,99,99,718,885,3490,120,126,120
120,1241,709,240,728,394,100,100,709,889,4053,120,127,120
120,1366,791,240,714,396,99,99,791,900,3913,120,127,120
120,1454,754,240,700,396,100,100,754,821,3475,120,127,120
120,1368,709,240,714,398,100,100,709,863,3751,120,127,120
120,1354,781,240,742,393,100,100,781,911,3767,120,127,120
120,1610,679,240,700,394,99,99,679,833,2763,120,126,120
120,1430,681,240,728,398,100,100,681,890,3749,120,127,120
120,1310,734,240,749,400,100,100,734,869,3344,120,126,120
120,1297,752,240,721,394,99,99,752,861,3060,120,127,120
120,1616,746,240,686,399,100,100,746,857,3332,120,127,120
120,1351,763,240,742,397,100,100,763,920,4057,120,126,120
120,1490,758,240,700,399,100,100,758,843,3627,120,126,120
120,1425,735,240,742,394,99,99,735,829,3051,120,126,120
120,1507,784,240,714,396,100,100,784,883,3057,120,126,120
120,1368,751,240,686,399,99,99,751,875,3760,120,126,120
120,1549,738,240,721,398,100,100,738,902,3046,120,127,120
120,1181,685,240,686,400,99,99,685,834,3913,120,127,120
120,1480,709,240,749,398,100,100,709,862,3189,120,127,120
120,1430,727,240,721,396,99,99,727,887,3623,120,126,120
120,1438,775,240,728,397,100,100,775,879,4052,120,127,120
120,1520,778,240,693,400,100,100,778,864,4047,120,126,120
120,1398,780,240,721,396,100,100,780,834,3475,120,127,120
120,1459,768,240,728,398,100,100,768,846,3625,120,127,120
120,1543,690,240,714,400,99,99,690,841,3778,120,127,120
120,1377,757,240,749,396,100,100,757,783,3197,120,127,120
120,1486,719,240,735,393,100,100,719,899,4199,120,126,120
120,1549,716,240,749,400,100,100,716,852,3910,120,127,120
120,1389,733,240,658,396,100,100,733,799,3629,120,127,120
120,1501,725,240,700,397,100,100,725,899,3320,120,127,120
120,1440,731,240,721,395,99,99,731,854,3341,120,127,120
120,1460,810,240,728,400,100,100,810,908,3623,120,126,120
120,1351,732,240,728,397,100,100,732,863,3907,120,127,120
120,1540,751,240,742,391,100,100,751,888,3764,120,126,120
120,1558,803,240,770,396,99,99,803,870,3191,120,126,120
120,1211,684,240,707,395,100,100,684,941,4202,120,126,120
120,1446,716,240,672,393,100,100,716,868,4048,120,126,120
120,1419,729,240,735,396,99,99,729,889,4623,120,127,120
120,1462,692,240,679,397,100,100,692,886,3480,120,126,120
120,1503,714,240,686,400,99,99,714,905,3040,120,127,120
120,1302,766,240,763,398,100,100,766,829,3194,120,127,120
120,1244,748,240,693,394,100,100,748,831,3066,120,126,120
120,1530,777,240,749,397,100,100,777,864,3338,120,127,120
120,1252,681,240,707,400,99,99,681,815,3618,120,126,120
120,1433,717,240,756,398,100,100,717,844,3912,120,126,120
120,1369,738,240,672,398,99,99,738,856,3901,120,127,120
120,1471,691,240,742,400,100,100,691,873,3901,120,126,120
120,1491,718,240,749,394,99,99,718,798,3474,120,127,120
120,1287,775,240,714,395,99,99,775,873,4052,120,126,120
120,1525,703,240,700,398,99,99,703,895,3785,120,127,120
120,1190,711,240,714,399,100,100,711,889,3052,120,127,120
120,1607,732,240,756,400,99,99,732,875,4196,120,126,120
120,1648,774,240,707,391,100,100,774,836,3197,120,127,120
120,1276,761,240,700,396,100,100,761,851,3335,120,126,120
120,1513,760,240,700,399,99,99,760,843,3197,120,126,120
120,1434,766,240,693,398,100,100,766,831,3331,120,127,120
120,1568,733,240,679,398,100,100,733,841,2762,120,126,120
120,1587,733,240,707,396,100,100,733,940,3186,120,126,120
120,1475,701,240,749,398,100,100,701,911,3620,120,126,120
120,1387,705,240,707,399,99,99,705,827,3478,120,127,120
120,1449,712,240,693,399,100,100,712,858,2903,120,126,120
120,1555,749,240,742,400,99,99,749,952,3920,120,126,120
120,1225,691,240,721,392,100,100,691,810,3473,120,126,120
120,1522,771,240,763,396,100,100,771,876,4198,120,127,120
120,1470,749,240,735,392,100,100,749,893,4201,120,127,120
120,1482,710,240,749,391,100,100,710,896,3201,120,126,120
120,1524,713,240,742,398,100,100,713,922,3197,120,126,120
120,1642,691,240,686,394,100,100,691,844,3620,120,127,120
120,1447,690,240,721,394,100,100,690,823,2479,120,126,120
120,1548,717,240,686,399,99,99,717,861,4061,120,127,120
120,1533,749,240,700,400,100,100,749,848,2913,120,126,120
120,1472,685,240,679,394,99,99,685,869,4477,120,126,120
120,1396,757,240,735,394,100,100,757,870,3628,120,126,120
120,1338,782,240,721,391,99,99,782,908,4195,120,126,120
120,1406,775,240,644,400,100,100,775,813,2914,120,127,120
120,1480,786,240,693,397,100,100,786,867,3913,120,126,120
120,1415,754,240,728,400,100,100,754,908,3897,120,127,120
120,1372,719,240,714,399,100,100,719,874,3475,120,126,120
120,1425,727,240,672,399,100,100,727,883,3766,120,126,120
120,1331,755,240,721,396,99,99,755,922,4061,120,127,120
120,1344,729,240,714,398,99,99,729,896,4050,120,127,120
120,1545,714,240,742,400,99,99,714,847,2908,120,126,120
120,1513,746,240,707,400,99,99,746,804,3056,120,127,120
120,1531,764,240,742,388,99,99,764,860,3338,120,126,120
120,1324,753,240,693,399,100,100,753,802,3049,120,127,120
120,1545,744,240,770,396,99,99,744,869,3619,120,126,120
120,1361,731,240,756,399,100,100,731,908,3484,120,127,120
120,1404,736,240,735,396,99,99,736,938,3336,120,126,120
120,1471,736,240,721,395,99,99,736,843,3056,120,127,120
120,1425,768,240,756,396,100,100,768,921,3337,120,127,120
120,1427,733,240,721,400,100,100,733,818,3480,120,126,120
120,1447,727,240,658,398,99,99,727,888,3046,120,126,120
120,1463,745,240,728,400,100,100,745,976,4202,120,127,120
120,1481,736,240,742,397,100,100,736,869,3913,120,126,120
120,1395,724,240,742,398,100,100,724,901,3487,120,127,120
120,1370,732,240,728,394,99,99,732,881,3054,120,127,120
120,1482,711,240,728,390,100,100,711,945,3903,120,127,120
120,1436,714,240,735,397,100,100,714,841,3472,120,126,120
120,1484,672,240,735,400,100,100,672,803,3481,120,126,120
120,1547,730,240,756,400,100,100,730,893,3487,120,127,120
