qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry,ucg
120,758,60,47,55,746,740,751,58,54,23,239,273,239,23,130,122,120,120
120,741,35,57,37,746,739,752,45,33,23,240,238,167,23,119,96,120,120
114,746,59,35,33,739,737,752,70,39,22,226,224,260,22,118,116,114,114
120,741,26,35,45,742,740,741,56,38,16,240,210,204,16,86,111,120,120
120,745,49,46,49,743,742,752,62,36,18,240,343,296,18,144,113,120,120
120,763,42,52,36,748,744,753,72,53,22,222,385,336,22,139,102,120,120
120,750,52,26,43,740,740,753,68,32,30,226,273,221,30,147,118,120,120
120,749,61,44,51,742,738,744,98,79,20,230,301,289,20,150,117,120,120
108,753,49,47,42,743,742,749,78,70,18,214,280,230,18,140,105,108,120
120,753,48,52,53,748,746,749,62,38,32,236,322,248,32,133,97,120,120
120,750,74,33,33,739,737,748,48,52,21,224,329,270,21,110,115,120,120
120,744,48,49,51,746,743,751,67,66,27,240,266,211,27,94,79,120,120
120,755,50,54,63,750,744,748,67,51,28,240,266,258,28,103,82,120,120
120,744,37,40,34,735,734,753,60,51,22,239,168,161,22,94,97,120,120
120,754,77,39,43,745,740,754,70,54,19,228,378,334,19,159,102,120,120
120,751,44,51,51,747,742,755,55,58,32,240,294,253,32,131,103,120,120
120,757,42,34,41,749,745,763,57,61,30,240,273,205,30,145,119,120,120
120,758,76,48,58,744,743,761,88,65,27,240,329,291,27,160,85,120,120
120,748,41,30,46,743,742,744,74,58,19,240,322,253,19,150,84,120,120
58,746,49,35,42,740,736,741,87,37,22,178,273,241,22,86,98,58,58
120,750,50,55,54,743,739,747,55,58,31,236,259,238,31,154,123,120,120
114,750,41,38,36,743,739,759,76,56,21,230,336,294,21,168,120,114,114
120,754,47,55,56,753,747,761,64,38,38,240,357,299,38,126,114,120,120
120,747,52,37,44,740,735,750,76,63,32,236,273,251,32,133,114,120,120
120,744,58,36,43,742,738,755,87,48,19,218,329,289,19,152,118,120,120
102,752,36,41,40,746,740,756,68,43,21,214,301,282,21,130,115,102,120
120,749,45,37,40,743,741,747,70,66,31,216,280,202,31,103,97,120,120
120,752,61,31,20,735,735,757,40,77,17,240,287,266,17,126,124,120,120
120,750,78,35,55,738,736,753,77,70,22,236,308,268,22,152,101,120,120
120,750,44,71,53,746,737,741,64,56,20,236,301,252,20,120,117,120,120
