qiskit,linear,linear_reduced,shp_reduced,mst_reduced,shp,mst,random,random_reduced,graycode_reduced,gleinig,topdown,dcsp,bdsp,merge,cvoqram,pivot,isometry,ucg,lowrank,svd
247,1235,99,51,53,1216,1216,1235,82,58,33,462,490,430,33,195,135,247,247,149.0,205.0
247,1229,61,61,59,1227,1225,1225,96,79,36,492,392,400,36,145,134,247,247,145.0,209.0
247,1237,87,47,64,1222,1220,1244,88,69,31,468,448,410,31,181,108,247,247,149.0,203.0
247,1228,82,60,63,1228,1222,1236,67,61,32,482,455,372,32,177,121,247,247,153.0,207.0
247,1230,66,43,52,1222,1220,1238,82,73,30,480,462,446,30,180,134,247,247,149.0,205.0
247,1222,36,57,57,1222,1222,1240,111,64,33,460,497,494,33,179,141,247,247,147.0,203.0
247,1243,75,76,52,1219,1217,1236,91,58,36,480,420,406,36,203,134,247,247,153.0,211.0
247,1230,60,47,55,1219,1215,1239,80,70,34,494,455,448,34,161,143,247,247,149.0,205.0
241,1233,82,67,62,1222,1218,1231,92,69,22,478,595,563,22,205,137,241,241,145.0,211.0
247,1226,53,64,50,1221,1217,1240,59,52,38,476,532,469,38,166,143,247,247,153.0,204.0
247,1234,68,47,71,1223,1218,1236,81,57,31,460,518,444,31,185,141,247,247,149.0,202.0
247,1231,81,39,41,1213,1213,1237,97,36,22,484,525,410,22,188,129,247,247,152.0,211.0
247,1221,57,47,71,1220,1214,1226,78,69,35,468,357,327,35,133,136,247,247,152.0,209.0
247,1238,87,79,66,1224,1223,1237,122,62,38,486,511,484,38,213,126,247,247,148.0,204.0
247,1231,72,49,85,1228,1224,1238,83,60,27,482,448,365,27,184,136,247,247,151.0,209.0
247,1228,51,43,62,1221,1217,1240,113,67,25,492,532,458,25,170,139,247,247,149.0,211.0
247,1226,68,43,52,1219,1220,1233,81,61,36,470,483,443,36,167,135,247,247,151.0,197.0
247,1239,72,56,63,1222,1218,1227,87,51,39,484,525,513,39,181,132,247,247,152.0,196.0
